"Cost","W1","W2","W_mid","quantiles"
5051.26235853333,505.1,1.18389644753472,1.31543290586806,"10"
5051.26235853333,1010.2,1.05235998920139,1.31543290586806,"20"
5051.26235853333,1515.3,0.920823530868055,1.31543290586806,"30"
5051.26235853333,2020.4,0.789287072534722,1.31543290586806,"40"
5051.26235853333,2525.5,0.657750614201389,1.31543290586806,"50"
5051.26235853333,3030.6,0.526214155868055,1.31543290586806,"60"
5051.26235853333,3535.7,0.394677697534722,1.31543290586806,"70"
5051.26235853333,4040.8,0.263141239201389,1.31543290586806,"80"
5051.26235853333,4545.9,0.131604780868055,1.31543290586806,"90"
5051.26235853333,5051,0.0000683225347221613,1.31543290586806,"100"
8385.34356190833,838.5,1.96532384424696,2.18368321924696,"10"
8385.34356190833,1677,1.74696446924696,2.18368321924696,"20"
8385.34356190833,2515.5,1.52860509424696,2.18368321924696,"30"
8385.34356190833,3354,1.31024571924696,2.18368321924696,"40"
8385.34356190833,4192.5,1.09188634424696,2.18368321924696,"50"
8385.34356190833,5031,0.873526969246961,2.18368321924696,"60"
8385.34356190833,5869.5,0.655167594246961,2.18368321924696,"70"
8385.34356190833,6708,0.436808219246961,2.18368321924696,"80"
8385.34356190833,7546.5,0.218448844246961,2.18368321924696,"90"
8385.34356190833,8385,0.0000894692469614711,2.18368321924696,"100"
14386.6897279833,1438.6,3.37189836666233,3.74653378332899,"10"
14386.6897279833,2877.2,2.99726294999566,3.74653378332899,"20"
14386.6897279833,4315.8,2.62262753332899,3.74653378332899,"30"
14386.6897279833,5754.4,2.24799211666233,3.74653378332899,"40"
14386.6897279833,7193,1.87335669999566,3.74653378332899,"50"
14386.6897279833,8631.6,1.49872128332899,3.74653378332899,"60"
14386.6897279833,10070.2,1.12408586666233,3.74653378332899,"70"
14386.6897279833,11508.8,0.74945044999566,3.74653378332899,"80"
14386.6897279833,12947.4,0.374815033328993,3.74653378332899,"90"
14386.6897279833,14386,0.000179616662326509,3.74653378332899,"100"
