"","beta","alpha","gamma","W","c","v","r","k","sigma","spec","transformation"
"1",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"baseline","1"
"2",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,4496.49576642937,0.201282685349239,20226,0.0000200307674145246,"v","0.05"
"3",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,8992.99153285874,0.201282685349239,20226,0.0000200307674145246,"v","0.1"
"4",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,44964.9576642937,0.201282685349239,20226,0.0000200307674145246,"v","0.5"
"5",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,53957.9491971524,0.201282685349239,20226,0.0000200307674145246,"v","0.6"
"6",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,62950.9407300112,0.201282685349239,20226,0.0000200307674145246,"v","0.7"
"7",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,71943.9322628699,0.201282685349239,20226,0.0000200307674145246,"v","0.8"
"8",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,107915.898394305,0.201282685349239,20226,0.0000200307674145246,"v","1.2"
"9",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,134894.872992881,0.201282685349239,20226,0.0000200307674145246,"v","1.5"
"10",1563.75159261232,1625836.98199308,0.140737643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","0.0001"
"11",1563.75159261232,1625836.98199308,14.0737643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","0.01"
"12",1563.75159261232,1625836.98199308,156.375159261232,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","0.111111111111111"
"13",1563.75159261232,1625836.98199308,312.750318522464,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","0.222222222222222"
"14",1563.75159261232,1625836.98199308,781.87579630616,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","0.555555555555555"
