"","x","names","values","AC","W_mid","W1","W2","quantile","lag_sign","Stable"
"24",1435.5,"ss_monop_lq",0.000123032824205893,5051.26235853333,1.31543290586806,505.1,1.18389644753472,"10",2,"Stable"
"80",1577.5,"ss_monop_lq",-0.00130933473849382,5051.26235853333,1.31543290586806,505.1,1.18389644753472,"10",-2,"Unstable"
"117",17213.5,"ss_monop_lq",0.0454184714953954,5051.26235853333,1.31543290586806,505.1,1.18389644753472,"10",2,"Stable"
"128",1055.5,"ss_monop_lq",0.0184374907020981,5051.26235853333,1.31543290586806,1010.2,1.05235998920139,"20",2,"Stable"
"138",1957,"ss_monop_lq",-0.00328610312789124,5051.26235853333,1.31543290586806,1010.2,1.05235998920139,"20",-2,"Unstable"
"152",17214,"ss_monop_lq",0.0136178382698517,5051.26235853333,1.31543290586806,1010.2,1.05235998920139,"20",2,"Stable"
"162",872.5,"ss_monop_lq",0.0395617053249566,5051.26235853333,1.31543290586806,1515.3,0.920823530868055,"30",2,"Stable"
"170",2139.5,"ss_monop_lq",-0.00934551722156129,5051.26235853333,1.31543290586806,1515.3,0.920823530868055,"30",-2,"Unstable"
"184",17215,"ss_monop_lq",0.0525253319610783,5051.26235853333,1.31543290586806,1515.3,0.920823530868055,"30",2,"Stable"
"192",731,"ss_monop_lq",0.0134267258027307,5051.26235853333,1.31543290586806,2020.4,0.789287072534722,"40",2,"Stable"
"199",2280,"ss_monop_lq",-0.0184081593515657,5051.26235853333,1.31543290586806,2020.4,0.789287072534722,"40",-2,"Unstable"
"212",17215.5,"ss_monop_lq",0.0204128769536283,5051.26235853333,1.31543290586806,2020.4,0.789287072534722,"40",2,"Stable"
"222",612,"ss_monop_lq",0.0435698047710815,5051.26235853333,1.31543290586806,2525.5,0.657750614201389,"50",2,"Stable"
"229",2398.5,"ss_monop_lq",-0.0223430997239689,5051.26235853333,1.31543290586806,2525.5,0.657750614201389,"50",-2,"Unstable"
"242",17216.5,"ss_monop_lq",0.0590079021297925,5051.26235853333,1.31543290586806,2525.5,0.657750614201389,"50",2,"Stable"
"251",507,"ss_monop_lq",0.0760125587953411,5051.26235853333,1.31543290586806,3030.6,0.526214155868055,"60",2,"Stable"
"258",2503,"ss_monop_lq",-0.0326958002726201,5051.26235853333,1.31543290586806,3030.6,0.526214155868055,"60",-2,"Unstable"
"270",17217,"ss_monop_lq",0.0265823876366085,5051.26235853333,1.31543290586806,3030.6,0.526214155868055,"60",2,"Stable"
"278",411.5,"ss_monop_lq",0.0259182879861726,5051.26235853333,1.31543290586806,3535.7,0.394677697534722,"70",2,"Stable"
"285",2597.5,"ss_monop_lq",-0.0453372240975227,5051.26235853333,1.31543290586806,3535.7,0.394677697534722,"70",-2,"Unstable"
"296",17218,"ss_monop_lq",0.0648637074482394,5051.26235853333,1.31543290586806,3535.7,0.394677697534722,"70",2,"Stable"
"303",324,"ss_monop_lq",0.0453918952150616,5051.26235853333,1.31543290586806,4040.8,0.263141239201389,"80",2,"Stable"
"310",2684,"ss_monop_lq",-0.0105980015234763,5051.26235853333,1.31543290586806,4040.8,0.263141239201389,"80",-2,"Unstable"
"322",17218.5,"ss_monop_lq",0.0321238895892293,5051.26235853333,1.31543290586806,4040.8,0.263141239201389,"80",2,"Stable"
"344",2765,"ss_monop_lq",-0.0372402646318619,5051.26235853333,1.31543290586806,4545.9,0.131604780868055,"90",-2,"Unstable"
"356",17219.5,"ss_monop_lq",0.0700902611597485,5051.26235853333,1.31543290586806,4545.9,0.131604780868055,"90",2,"Stable"
"374",2841,"ss_monop_lq",-0.0564035599902013,5051.26235853333,1.31543290586806,5051,0.0000683225347221613,"100",-2,"Unstable"
"385",17220,"ss_monop_lq",0.0370348898388784,5051.26235853333,1.31543290586806,5051,0.0000683225347221613,"100",2,"Stable"
"402",17230.5,"ss_monop_lq",0.00961718355642915,8385.34356190833,2.18368321924696,838.5,1.96532384424696,"10",2,"Stable"
"419",17232,"ss_monop_lq",0.050041765353626,8385.34356190833,2.18368321924696,1677,1.74696446924696,"20",2,"Stable"
"437",17233,"ss_monop_lq",0.0188686421756756,8385.34356190833,2.18368321924696,2515.5,1.52860509424696,"30",2,"Stable"
"456",17234.5,"ss_monop_lq",0.0584292781422846,8385.34356190833,2.18368321924696,3354,1.31024571924696,"40",2,"Stable"
"474",17235.5,"ss_monop_lq",0.0263886147000676,8385.34356190833,2.18368321924696,4192.5,1.09188634424696,"50",2,"Stable"
"484",1131,"ss_monop_lq",0.00218585171475638,8385.34356190833,2.18368321924696,5031,0.873526969246961,"60",2,"Stable"
"496",1859,"ss_monop_lq",-0.0212962062410611,8385.34356190833,2.18368321924696,5031,0.873526969246961,"60",-2,"Unstable"
"510",17237,"ss_monop_lq",0.0650796519410051,8385.34356190833,2.18368321924696,5031,0.873526969246961,"60",2,"Stable"
"518",815.5,"ss_monop_lq",0.0355378955724461,8385.34356190833,2.18368321924696,5869.5,0.655167594246961,"70",2,"Stable"
"526",2173.5,"ss_monop_lq",-0.0336291828946855,8385.34356190833,2.18368321924696,5869.5,0.655167594246961,"70",-2,"Unstable"
"537",17238,"ss_monop_lq",0.0321657575660765,8385.34356190833,2.18368321924696,5869.5,0.655167594246961,"70",2,"Stable"
"543",605,"ss_monop_lq",0.0128578088116029,8385.34356190833,2.18368321924696,6708,0.436808219246961,"80",2,"Stable"
"550",2382.5,"ss_monop_lq",-0.0424069615196458,8385.34356190833,2.18368321924696,6708,0.436808219246961,"80",-2,"Unstable"
