"beta","alpha","gamma","W","c","v","r","k","sigma","spec","transformation","ss_monop1","ss_monop2","ss_monop3","ss_cournot1","ss_cournot2","ss_cournot3","ss_bertrand1","ss_bertrand2","ss_bertrand3","harvest_monop1","harvest_monop2","harvest_monop3","price_monop1","price_monop2","price_monop3","price_poachers_monop1","price_poachers_monop2","price_poachers_monop3","profit_monop1","profit_monop2","profit_monop3","harvest_cournot1","price_poachers_cournot1","farmed_cournot1","p_farmed_cournot1","p_wild_cournot1","profit_farmed_cournot1","profit_trader_cournot1","harvest_cournot2","price_poachers_cournot2","farmed_cournot2","p_farmed_cournot2","p_wild_cournot2","profit_farmed_cournot2","profit_trader_cournot2","harvest_cournot3","price_poachers_cournot3","farmed_cournot3","p_farmed_cournot3","p_wild_cournot3","profit_farmed_cournot3","profit_trader_cournot3","e","a_f","a_w","b_f","b_w","harvest_bertrand1","price_poachers_bertrand1","farmed_bertrand1","p_farmed_bertrand1","p_wild_bertrand1","profit_farmed_bertrand1","profit_trader_bertrand1","harvest_bertrand2","price_poachers_bertrand2","farmed_bertrand2","p_farmed_bertrand2","p_wild_bertrand2","profit_farmed_bertrand2","profit_trader_bertrand2","harvest_bertrand3","price_poachers_bertrand3","farmed_bertrand3","p_farmed_bertrand3","p_wild_bertrand3","profit_farmed_bertrand3","profit_trader_bertrand3"
1563.75159261232,1625836.98199308,781.87579630616,2.18368321924696,0,100551.679695,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  100551.679695 and 781.87579630616",17230,NA,NA,17867,NA,NA,17553,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,419.575329696352,14306.4251057304,382.806806700448,727914.851532086,670418.015139239,229153802.284958,275288236.705907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000426325171987815,693.13523097235,693.13523097235,0.00085265034397563,0.00085265034397563,466.957419780994,16496.7742325519,423.955753347757,597772.793066034,564150.830881054,210799751.699627,255731125.225179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,938.250955567392,2.18368321924696,0,100551.679695,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  100551.679695 and 938.250955567392",17230,NA,NA,17956,NA,NA,17511,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,405.672689581451,13695.5990732383,365.998832250101,710106.971072528,648066.913485556,209472571.658309,257347117.310965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000599519773107864,649.814279036578,649.814279036578,0.000999199621846441,0.000999199621846441,473.152902844912,16795.9304958283,421.652156428125,522541.587626456,490327.837934467,177932954.670205,224052996.59428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,1094.62611482862,2.18368321924696,0,100551.679695,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  100551.679695 and 1094.62611482862",17230,NA,NA,18036,NA,NA,17422,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,393.105790430741,13153.8669199022,350.113612473777,695102.759521174,627873.672771099,191683953.46036,241649915.172567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000877728295269021,611.589909681486,611.589909681486,0.00125389756467003,0.00125389756467003,486.193014821084,17435.6102417099,420.573621108816,435964.74130302,405181.011875875,141065885.887679,188519105.803527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,1251.00127408986,2.18368321924696,0,100551.679695,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  100551.679695 and 1251.00127408986",17230,NA,NA,18108,NA,NA,17254,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,381.807853640049,12674.4272152953,334.977497668516,682958.110149902,609727.066416814,175468447.274745,227959386.683659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142108390662607,577.612692476957,577.612692476957,0.00177635488328258,0.00177635488328258,510.452121603495,18663.7918283155,416.940868357556,335268.780585943,306023.106347841,97863151.8638378,146683171.759018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,100551.679695,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  100551.679695 and 1407.37643335109",17230,NA,NA,18171,NA,NA,16853,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,371.746298624398,12255.003856931,320.414804743557,673843.575685905,593573.870378569,160543569.157404,216103136.94995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0030291525378082,547.212024451854,547.212024451854,0.0033657250420091,0.0033657250420091,565.725676689131,21680.8300425978,391.805184225928,216962.01605214,189765.171344415,45610173.2822114,95089627.7238172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,156.375159261232,2.18368321924696,0,6703.445313,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  6703.445313 and 156.375159261232",17230,NA,NA,17399,NA,NA,17383,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,489.561519460696,17602.856711027,493.229961649246,777418.930134646,783155.462449398,380422911.982421,374785096.892372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000645947230284568,945.184405871386,945.184405871386,0.000645947230284568,0.000645947230284568,491.865804271686,17718.2826724923,495.592710963514,773937.497458689,779182.658106067,380235603.846404,374538287.446872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,312.750318522464,2.18368321924696,0,6703.445313,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  6703.445313 and 312.750318522464",17230,NA,NA,17550,NA,NA,17492,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,467.47297745134,16520.6345994144,470.960739877146,742078.253544163,747532.247592171,346846387.18599,341728175.277231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000133226616246192,866.419038715437,866.419038715437,0.000666133081230961,0.000666133081230961,475.986506714095,16933.2437552984,479.703456072317,726835.006991131,731484.915373994,345449598.963755,340116954.040501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,469.125477783696,2.18368321924696,0,6703.445313,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  6703.445313 and 469.125477783696",17230,NA,NA,17685,NA,NA,17565,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,447.281711512541,15566.6610354503,450.615780895399,709790.493452228,715004.149759552,317526925.977173,312845597.05255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000210820139993974,799.771420352711,799.771420352711,0.000702733799979914,0.000702733799979914,465.181458826076,16411.5856655284,469.037506595151,674150.359932102,678371.290520158,313057636.61757,307931381.188355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,625.500637044928,2.18368321924696,0,6703.445313,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  6703.445313 and 625.500637044928",17230,NA,NA,17807,NA,NA,17608,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,428.753958910416,14718.0773738622,431.957245840197,680173.618420824,685182.763458863,291775815.729035,287464388.468574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000304517979991296,742.644890327517,742.644890327517,0.000761294949978241,0.000761294949978241,458.808733538731,16107.7942316062,462.985098820146,614858.141247051,618776.619963137,281566561.994963,276509720.677158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563.75159261232,1625836.98199308,781.87579630616,2.18368321924696,0,6703.445313,0.201282685349239,20226,0.0000200307674145246,"c and v and gamma","0  and  6703.445313 and 781.87579630616",17230,NA,NA,17918,NA,NA,17624,NA,NA,513.827581492166,NA,NA,822338.283106568,NA,NA,18839.5842200555,NA,NA,412859793.180959,NA,NA,411.692246738989,13957.8356276122,414.784975937533,652905.981922109,657742.242131851,269038107.635545,265041048.729257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000426325171987815,693.13523097235,693.13523097235,0.00085265034397563,0.00085265034397563,456.486907229541,15997.1940698766,461.241498074166,547653.790707277,551371.290210027,249508747.693394,244391265.357829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
