"","x","names","values","lag_sign","row_params_sensitivity"
"2502",18207.5,"ss_cournot_lq",0.0545368038989977,2,311
"2503",18228,"ss_cournot",0.0091619598139232,2,311
"2504",1659.5,"ss_bertrand_lq",-0.0317649630024448,-2,312
"2505",17063,"ss_bertrand_lq",0.0394020111092459,2,312
"2506",17187,"ss_bertrand",0.065689460694216,2,312
"2507",17229.5,"ss_monop_lq",0.0523210534370264,2,312
"2508",17259,"ss_monop",0.0348647239404727,2,312
"2509",18211,"ss_cournot_lq",0.0343529702996079,2,312
"2510",18228,"ss_cournot",0.0091619598139232,2,312
"2511",1617.5,"ss_bertrand_lq",-0.00399109890395266,-2,313
"2512",17086.5,"ss_bertrand_lq",0.042242244859267,2,313
"2513",17187,"ss_bertrand",0.065689460694216,2,313
"2514",17235.5,"ss_monop_lq",0.0263568265346521,2,313
"2515",17259,"ss_monop",0.0348647239404727,2,313
"2516",18221,"ss_cournot_lq",0.051339995871615,2,313
"2517",18228,"ss_cournot",0.0091619598139232,2,313
"2518",653.5,"ss_monop_lq",0.0666663064979076,2,314
"2519",2338,"ss_monop_lq",-0.0264825143877374,-2,314
"2520",17235.5,"ss_monop_lq",0.03568222014394,2,314
"2521",1584.5,"ss_bertrand_lq",-0.000879710270567102,-2,314
"2522",17086.5,"ss_bertrand_lq",0.0560113031475566,2,314
"2523",17187,"ss_bertrand",0.065689460694216,2,314
"2524",17259,"ss_monop",0.0348647239404727,2,314
"2525",18224.5,"ss_cournot_lq",0.0203039125610758,2,314
"2526",18228,"ss_cournot",0.0091619598139232,2,314
"2527",2694.5,"ss_monop_lq",0.064401155796304,2,315
"2528",2695,"ss_monop_lq",-0.000203687378302675,-2,315
"2529",17241.5,"ss_monop_lq",0.00192318255244572,2,315
"2530",738,"ss_cournot_lq",0.0232114816913906,2,315
"2531",1254,"ss_cournot_lq",-0.0117249417916696,-2,315
"2532",18234.5,"ss_cournot_lq",0.0228034807002473,2,315
"2533",17111.5,"ss_bertrand_lq",0.0411564190052331,2,315
"2534",17187,"ss_bertrand",0.065689460694216,2,315
"2535",17259,"ss_monop",0.0348647239404727,2,315
"2536",18228,"ss_cournot",0.0091619598139232,2,315
"2537",1669.5,"ss_bertrand_lq",-0.0433576693498026,-2,316
"2538",17042,"ss_bertrand_lq",0.0372047535990987,2,316
"2539",17166.5,"ss_bertrand",0.0403435249036193,2,316
"2540",17229.5,"ss_monop_lq",0.0398968069752073,2,316
"2541",17259,"ss_monop",0.0348647239404727,2,316
"2542",18203.5,"ss_cournot_lq",0.00503237052578243,2,316
"2543",18224.5,"ss_cournot",0.0322952895518256,2,316
"2544",1672.5,"ss_bertrand_lq",-0.0131702704838403,-2,317
"2545",17041,"ss_bertrand_lq",0.0296004503805989,2,317
"2546",17166.5,"ss_bertrand",0.0403435249036193,2,317
"2547",17229.5,"ss_monop_lq",0.0523210534370264,2,317
"2548",17259,"ss_monop",0.0348647239404727,2,317
"2549",18207.5,"ss_cournot_lq",0.0675316291058721,2,317
"2550",18224.5,"ss_cournot",0.0322952895518256,2,317
"2551",1631.5,"ss_bertrand_lq",-0.0151516216345726,-2,318
"2552",17064.5,"ss_bertrand_lq",0.0567598241616452,2,318
"2553",17166.5,"ss_bertrand",0.0403435249036193,2,318
"2554",17235.5,"ss_monop_lq",0.0263568265346521,2,318
"2555",17259,"ss_monop",0.0348647239404727,2,318
"2556",18217,"ss_cournot_lq",0.00471258719511525,2,318
"2557",18224.5,"ss_cournot",0.0322952895518256,2,318
"2558",653.5,"ss_monop_lq",0.0666663064979076,2,319
"2559",2338,"ss_monop_lq",-0.0264825143877374,-2,319
"2560",17235.5,"ss_monop_lq",0.03568222014394,2,319
"2561",1602,"ss_bertrand_lq",-0.0026398150712339,-2,319
"2562",17064,"ss_bertrand_lq",0.0433341233970168,2,319
"2563",17166.5,"ss_bertrand",0.0403435249036193,2,319
"2564",17259,"ss_monop",0.0348647239404727,2,319
"2565",18221,"ss_cournot_lq",0.0565065234944768,2,319
"2566",18224.5,"ss_cournot",0.0322952895518256,2,319
"2567",2694.5,"ss_monop_lq",0.064401155796304,2,320
"2568",2695,"ss_monop_lq",-0.000203687378302675,-2,320
"2569",17241.5,"ss_monop_lq",0.00192318255244572,2,320
"2570",733,"ss_cournot_lq",0.00955152608298704,2,320
"2571",1262.5,"ss_cournot_lq",-0.00376194403952468,-2,320
"2572",18231,"ss_cournot_lq",0.0601169154465993,2,320
"2573",17089,"ss_bertrand_lq",0.0543585367404376,2,320
"2574",17166.5,"ss_bertrand",0.0403435249036193,2,320
"2575",17259,"ss_monop",0.0348647239404727,2,320
"2576",18224.5,"ss_cournot",0.0322952895518256,2,320
"2577",1682,"ss_bertrand_lq",-0.0462244690825173,-2,321
"2578",17020.5,"ss_bertrand_lq",0.0661877927350361,2,321
"2579",17146,"ss_bertrand",0.0220267978128277,2,321
"2580",17229.5,"ss_monop_lq",0.0398968069752073,2,321
"2581",17259,"ss_monop",0.0348647239404727,2,321
"2582",18200,"ss_cournot_lq",0.0365771860595032,2,321
"2583",18221,"ss_cournot",0.0556607005318028,2,321
"2584",1686,"ss_bertrand_lq",-0.0511807546337195,-2,322
"2585",17019,"ss_bertrand_lq",0.028761696459128,2,322
"2586",17146,"ss_bertrand",0.0220267978128277,2,322
"2587",17229.5,"ss_monop_lq",0.0523210534370264,2,322
"2588",17259,"ss_monop",0.0348647239404727,2,322
"2589",18203.5,"ss_cournot_lq",0.0201877722028598,2,322
"2590",18221,"ss_cournot",0.0556607005318028,2,322
"2591",1645.5,"ss_bertrand_lq",-0.0115059540132165,-2,323
"2592",17042,"ss_bertrand_lq",0.0103420621819623,2,323
"2593",17146,"ss_bertrand",0.0220267978128277,2,323
"2594",17235.5,"ss_monop_lq",0.0263568265346521,2,323
"2595",17259,"ss_monop",0.0348647239404727,2,323
"2596",18213.5,"ss_cournot_lq",0.0392667270249945,2,323
